u,v,dist,weight,tw_feasible,tw_slack
0,1,28.0178514522438,0.24637695644628177,True,645.9821485477562
0,2,11.40175425099138,0.5654758371968316,True,112.0
0,3,15.811388300841896,0.4535864427910235,True,664.1886116991582
0,7,26.419689627245813,0.26687244165162566,True,694.5803103727542
0,8,25.612496949731394,0.2778636238111907,True,223.3875030502686
0,9,4.0,0.8187307530779818,True,211.0
0,11,29.832867780352597,0.2250025847608661,True,102.16713221964744
0,12,10.198039027185569,0.600554459474065,True,668.8019609728144
0,14,2.23606797749979,0.8942200448866238,True,321.7639320225002
0,15,33.24154027718932,0.18974446864932826,True,510.7584597228107
1,2,16.64331697709324,0.4351058914682921,True,112.0
1,4,13.0,0.522045776761016,True,76.0
1,7,3.0,0.8607079764250578,True,34.0
1,8,32.14031735997639,0.20048499599088226,True,78.0
1,9,30.479501308256342,0.2178442185568457,True,68.0
1,13,26.92582403567252,0.2602035156172015,True,78.0
1,14,29.154759474226502,0.2327621938856093,True,62.0
1,15,29.120439557122072,0.23316195574231757,True,68.0
1,10,34.0147027033899,0.1825492763204768,True,8.9852972966101
2,3,4.47213595499958,0.7996294886770354,True,112.0
2,7,15.231546211727817,0.4669293532536206,True,112.0
2,8,25.495097567963924,0.2794994711833662,True,112.0
2,9,14.212670403551895,0.4913328295810074,True,106.7873295964481
2,12,18.384776310850235,0.3988225030652202,True,112.0
2,13,28.844410203711913,0.23640224185438102,True,112.0
2,14,12.529964086141668,0.5344600979696975,True,112.0
2,5,35.4682957019364,0.16975233025003947,True,112.0
2,6,31.144823004794873,0.2107166054856385,True,112.0
2,11,29.5296461204668,0.22843985817584211,True,8.47035387953315
2,15,29.068883707497267,0.23376377422706626,True,112.0
3,4,24.041630560342615,0.3005679197699607,True,76.0
3,7,10.770329614269007,0.5836134122275816,True,4.229670385730998
3,8,25.96150997149434,0.2730567858708379,True,78.0
3,9,18.384776310850235,0.3988225030652202,True,68.0
3,13,26.90724809414742,0.26044530415059763,True,78.0
3,14,17.0,0.42741493194872665,True,62.0
3,11,29.732137494637012,0.22613867205174343,True,62.0
3,15,27.65863337187866,0.2508420881797969,True,68.0
4,5,36.22154055254967,0.16347797166040734,True,76.0
4,6,32.55764119219941,0.1963449810338056,True,76.0
4,7,13.341664064126334,0.5132033065758749,True,76.0
4,8,35.77708763999664,0.16715155184722616,True,76.0
4,10,31.016124838541646,0.21207691957612576,True,76.0
4,13,25.179356624028344,0.28394695648610524,True,76.0
4,15,28.442925306655784,0.24119579080639963,True,76.0
5,6,4.47213595499958,0.7996294886770354,True,23.527864045000427
5,7,34.20526275297414,0.1808182062788744,True,33.794737247025864
5,8,12.649110640673518,0.5312856091329677,True,78.0
5,10,7.0710678118654755,0.7021885013265596,True,66.92893218813452
5,11,9.055385138137417,0.6358648381197989,True,62.0
5,13,11.045361017187261,0.575642741676695,True,78.0
5,15,8.06225774829855,0.6682366595564831,True,63.93774225170145
6,7,29.832867780352597,0.2250025847608661,True,3.1671322196474136
6,8,10.0,0.6065306597126334,True,78.0
6,10,7.0710678118654755,0.7021885013265596,True,31.928932188134524
6,11,7.615773105863909,0.6833222909093634,True,62.0
6,13,7.615773105863909,0.6833222909093634,True,78.0
6,15,4.123105625617661,0.8137067130515866,True,68.0
7,8,29.154759474226502,0.2327621938856093,True,78.0
7,9,28.600699292150182,0.23930055504749354,True,68.0
7,13,24.166091947189145,0.29870327269479235,True,78.0
7,14,27.730849247724095,0.24993798237706497,True,62.0
7,15,26.248809496813376,0.26916237018531053,True,68.0
8,10,17.029386365926403,0.4267873845154575,True,78.0
8,11,4.242640687119285,0.808857893484718,True,62.0
8,12,18.973665961010276,0.38725058150845293,True,78.0
8,13,14.7648230602334,0.4779538243134394,True,78.0
8,15,11.704699910719626,0.5569749598028754,True,78.0
8,14,27.80287754891569,0.24903947089092512,True,35.19712245108428
9,11,27.459060435491963,0.25335768302760625,True,27.540939564507994
9,12,6.324555320336759,0.7288934141100245,True,68.0
9,14,5.385164807134504,0.763945948498702,True,68.0
9,15,32.01562118716424,0.20173888639771587,True,68.0
10,11,14.560219778561036,0.4828684662952403,True,62.0
10,13,7.211102550927978,0.6972891342043374,True,78.0
10,15,6.708203932499369,0.7150447172574466,True,68.0
11,12,22.847319317591726,0.31906323535809145,True,62.0
11,13,14.142135623730951,0.4930686913952398,True,62.0
11,15,10.63014581273465,0.5877184392162014,True,62.0
11,14,32.01562118716424,0.20173888639771587,True,62.0
12,13,31.016124838541646,0.21207691957612576,True,78.0
12,14,11.704699910719626,0.5569749598028754,True,62.0
12,15,29.068883707497267,0.23376377422706626,True,68.0
13,15,3.605551275463989,0.8350384028320718,True,78.0
14,15,35.4682957019364,0.16975233025003947,True,62.0
