u,v,dist,weight,tw_feasible,tw_slack
0,1,11.045361017187261,0.575642741676695,True,587.9546389828128
0,2,39.81205847478876,0.13661303336901548,True,464.1879415252113
0,3,38.48376280978771,0.14599423556432456,True,456.5162371902123
0,4,20.223748416156685,0.3637867550435563,True,509.7762515838433
0,5,25.079872407968907,0.2853628871538381,True,220.92012759203112
0,6,28.231188426986208,0.24376285760435146,True,333.7688115730138
0,7,15.620499351813308,0.45793640070920283,True,489.3795006481867
0,8,38.8329756778952,0.14346720824114398,True,358.1670243221048
0,9,30.066592756745816,0.22238845301786572,True,536.9334072432541
0,10,27.294688127912362,0.255448512470372,True,216.70531187208763
1,2,38.118237105091836,0.1486869997661873,True,33.88176289490815
1,3,34.36568055487916,0.17937368423974587,True,43.63431944512084
1,4,20.615528128088304,0.3567298856538286,True,30.3844718719117
1,5,25.632011235952593,0.2775926405195514,True,87.0
1,6,25.0,0.2865047968601901,True,81.0
1,7,11.045361017187261,0.575642741676695,True,80.95463898281274
1,8,41.593268686170845,0.12497226649845525,True,76.0
1,10,23.08679276123039,0.3152656576191523,True,81.0
2,5,15.231546211727817,0.4669293532536206,True,87.0
2,6,13.341664064126334,0.5132033065758749,True,81.0
2,8,16.0312195418814,0.4486281190403976,True,76.0
2,9,10.816653826391969,0.582263204938148,True,29.183346173608044
2,10,15.811388300841896,0.4535864427910235,True,81.0
3,5,17.204650534085253,0.42306369727239695,True,87.0
3,6,10.295630140987,0.5976311585493006,True,81.0
3,8,24.186773244895647,0.2983945537745736,True,59.81322675510435
3,9,14.866068747318506,0.4755404000205907,True,31.133931252681492
3,10,11.40175425099138,0.5654758371968316,True,81.0
4,5,5.0990195135927845,0.7749544886469559,True,87.0
4,6,10.0,0.6065306597126334,True,81.0
4,7,10.63014581273465,0.5877184392162014,True,12.36985418726536
4,8,21.095023109728988,0.3482790838629497,True,76.0
4,9,10.04987562112089,0.6050199894668501,True,8.95012437887911
4,10,10.770329614269007,0.5836134122275816,True,81.0
5,6,9.055385138137417,0.6358648381197989,True,87.0
5,7,15.264337522473747,0.46616441922876295,True,87.0
5,8,16.401219466856727,0.4404048007344235,True,87.0
5,9,5.0,0.7788007830714049,True,87.0
6,7,14.035668847618199,0.49570046178179333,True,81.0
6,8,22.47220505424423,0.3251039659061073,True,3.5277949457557725
6,9,9.848857801796104,0.6111316417386323,True,81.0
6,10,2.8284271247461903,0.8681234453945849,True,81.0
7,8,31.622776601683793,0.20574066108381442,True,62.377223398316204
7,9,19.697715603592208,0.3734818835341561,True,40.3022843964078
7,10,12.36931687685298,0.5387703617522452,True,81.0
8,9,12.806248474865697,0.52712771110158,True,76.0
8,10,25.238858928247925,0.2831034369827924,True,81.0
9,10,12.529964086141668,0.5344600979696975,True,81.0
